site,depth,date,data,raw
TMCH1,n/a,24/04/2007,0.04,0.04
TMCH1,n/a,08/05/2007,0.06,0.06
TMCH1,n/a,12/06/2007,0.07,0.07
TMCH1,n/a,10/07/2007,0.05,0.05
TMCH1,n/a,08/08/2007,0.04,0.04
TMCH1,n/a,12/09/2007,0.04,0.04
TMCH1,n/a,17/10/2007,0.06,0.06
TMCH1,n/a,14/11/2007,0.06,0.06
TMCH1,n/a,12/12/2007,0.05,0.05
TMCH2,n/a,24/04/2007,0.04,0.04
TMCH2,n/a,08/05/2007,0.06,0.06
TMCH2,n/a,12/06/2007,0.07,0.07
TMCH2,n/a,10/07/2007,0.05,0.05
TMCH2,n/a,08/08/2007,0.04,0.04
TMCH2,n/a,12/09/2007,0.05,0.05
TMCH2,n/a,17/10/2007,0.06,0.06
TMCH2,n/a,14/11/2007,0.06,0.06
TMCH2,n/a,12/12/2007,0.05,0.05
TMCH3,n/a,24/04/2007,0.06,0.06
TMCH3,n/a,08/05/2007,0.1,0.1
TMCH3,n/a,12/06/2007,0.1,0.1
TMCH3,n/a,10/07/2007,0.08,0.08
TMCH3,n/a,08/08/2007,0.05,0.05
TMCH3,n/a,12/09/2007,0.06,0.06
TMCH3,n/a,17/10/2007,0.07,0.07
TMCH3,n/a,14/11/2007,0.07,0.07
TMCH3,n/a,12/12/2007,0.05,0.05
TMCH4,n/a,24/04/2007,0.04,0.04
TMCH4,n/a,08/05/2007,0.07,0.07
TMCH4,n/a,12/06/2007,0.07,0.07
TMCH4,n/a,10/07/2007,0.06,0.06
TMCH4,n/a,08/08/2007,0.04,0.04
TMCH4,n/a,12/09/2007,0.05,0.05
TMCH4,n/a,17/10/2007,0.06,0.06
TMCH4,n/a,14/11/2007,0.07,0.07
TMCH4,n/a,12/12/2007,0.05,0.05
CAN,n/a,09/01/2003,-9,
CAN,n/a,05/02/2003,0,0
CAN,n/a,05/03/2003,-9,
CAN,n/a,02/04/2003,-9,
CAN,n/a,07/05/2003,-9,
CAN,n/a,12/06/2003,-9,
CAN,n/a,07/07/2003,-9,
CAN,n/a,02/09/2003,-9,
CAN,n/a,13/10/2003,-9,
CAN,n/a,04/11/2003,-9,
CAN,n/a,11/12/2003,-9,
CAN,n/a,07/01/2004,-9,
CAN,n/a,04/02/2004,-9,
CAN,n/a,04/03/2004,-9,
CAN,n/a,06/04/2004,-9,
CAN,n/a,05/05/2004,-9,
CAN,n/a,02/06/2004,-9,
CAN,n/a,07/07/2004,-9,
CAN,n/a,04/08/2004,0,0
CAN,n/a,08/09/2004,0,0
CAN,n/a,06/10/2004,0,0
CAN,n/a,11/11/2004,0,0
CAN,n/a,09/12/2004,0,0
CAN,n/a,05/01/2005,0,0
CAN,n/a,01/02/2005,0,0
CAN,n/a,01/03/2005,0,0
CAN,n/a,06/04/2005,0,0
CAN,n/a,03/05/2005,0,0
CAN,n/a,01/06/2005,0,0
CAN,n/a,05/07/2005,0,0
CAN,n/a,03/08/2005,0,0
CAN,n/a,13/09/2005,0,0
CAN,n/a,04/10/2005,0,0
CAN,n/a,08/11/2005,0,0
CAN,n/a,01/12/2005,0,0
CAQ,n/a,07/07/2004,-9,
CAQ,n/a,12/08/2004,0,0
CAQ,n/a,02/09/2004,0,0
CAQ,n/a,13/10/2004,0,0
CAQ,n/a,16/11/2004,0,0
CAQ,n/a,13/12/2004,0,0
CAQ,n/a,26/01/2005,0,0
CAQ,n/a,09/03/2005,0,0
CAQ,n/a,14/04/2005,0,0
CAQ,n/a,12/05/2005,0,0
CAQ,n/a,09/06/2005,0,0
CAQ,n/a,14/07/2005,0,0
CAQ,n/a,11/08/2005,0,0
CAQ,n/a,15/09/2005,0,0
CAQ,n/a,12/10/2005,0,0
CAQ,n/a,21/11/2005,0,0
CAQ,n/a,14/12/2005,0,0
CDL,n/a,08/01/2003,-9,
CDL,n/a,13/02/2003,0,0
CDL,n/a,11/03/2003,-9,
CDL,n/a,10/04/2003,-9,
CDL,n/a,11/06/2003,-9,
CDL,n/a,10/07/2003,-9,
CDL,n/a,05/09/2003,-9,
CDL,n/a,09/10/2003,-9,
CDL,n/a,07/11/2003,-9,
CDL,n/a,11/12/2003,-9,
CDL,n/a,08/01/2004,-9,
CDL,n/a,05/02/2004,-9,
CDL,n/a,03/03/2004,-9,
CDL,n/a,07/04/2004,-9,
CDL,n/a,11/05/2004,-9,
CDL,n/a,10/06/2004,-9,
CDL,n/a,08/07/2004,-9,
CDL,n/a,10/08/2004,0,0
CDL,n/a,21/09/2004,0,0
CDL,n/a,07/10/2004,0,0
CDL,n/a,16/11/2004,0,0
CDL,n/a,28/12/2004,0,0
CDL,n/a,26/01/2005,0,0
CDL,n/a,24/02/2005,0,0
CDL,n/a,29/03/2005,0,0
CDL,n/a,28/04/2005,0,0
CDL,n/a,02/06/2005,0,0
CDL,n/a,30/06/2005,0,0
CDL,n/a,28/07/2005,0,0
CDL,n/a,30/08/2005,0,0
CDL,n/a,13/09/2005,0,0
CDL,n/a,27/10/2005,0,0
CDL,n/a,29/11/2005,0,0
CDL,n/a,30/12/2005,0,0
CHI,n/a,08/01/2003,-9,
CHI,n/a,06/02/2003,0,0
CHI,n/a,11/03/2003,-9,
CHI,n/a,10/04/2003,-9,
CHI,n/a,11/06/2003,-9,
CHI,n/a,10/07/2003,-9,
CHI,n/a,05/09/2003,-9,
CHI,n/a,09/10/2003,-9,
CHI,n/a,07/11/2003,-9,
CHI,n/a,11/12/2003,-9,
CHI,n/a,08/01/2004,-9,
CHI,n/a,05/02/2004,-9,
CHI,n/a,04/03/2004,-9,
CHI,n/a,07/04/2004,-9,
CHI,n/a,11/05/2004,-9,
CHI,n/a,03/06/2004,-9,
