"","site","depth","date","data","delta"
"425","BOP","Shallow",2003-01-30,0,0
"426","BOP","Shallow",2003-03-13,0,0
"428","BOP","Shallow",2003-05-13,0,0
"429","BOP","Shallow",2003-06-12,0,0
"431","BOP","Shallow",2003-08-13,0,0
"432","BOP","Shallow",2003-09-10,0,0
"433","BOP","Shallow",2003-10-14,0,0
"434","BOP","Shallow",2003-11-11,0,0
"435","BOP","Shallow",2003-12-16,0,0
"436","BOP","Shallow",2004-01-14,0,0
"437","BOP","Shallow",2004-02-12,0,0
"438","BOP","Shallow",2004-03-09,0,0
"439","BOP","Shallow",2004-04-14,0,0
"440","BOP","Shallow",2004-05-11,0,0
"441","BOP","Shallow",2004-06-10,0,0
"442","BOP","Shallow",2004-07-14,0,0
"443","BOP","Shallow",2004-08-10,0,0
"444","BOP","Shallow",2004-09-15,0,0
"445","BOP","Shallow",2004-10-12,0,0
"446","BOP","Shallow",2004-11-11,0,0
"447","BOP","Shallow",2004-12-09,0,0
"448","BOP","Shallow",2005-01-11,0,0
"449","BOP","Shallow",2005-02-15,0,0
"450","BOP","Shallow",2005-03-08,0,0
"451","BOP","Shallow",2005-04-12,0,0
"452","BOP","Shallow",2005-05-10,0,0
"453","BOP","Shallow",2005-06-07,0,0
"454","BOP","Shallow",2005-07-12,0,0
"455","BOP","Shallow",2005-08-09,0,0
"456","BOP","Shallow",2005-09-22,0,0
"457","BOP","Shallow",2005-10-11,0,0
"458","BOP","Shallow",2005-11-14,0,0
"459","BOP","Shallow",2005-12-12,0,0
"487","DCH","Shallow",2003-01-30,0,0
"488","DCH","Shallow",2003-03-13,0,0
"490","DCH","Shallow",2003-05-13,0,0
"491","DCH","Shallow",2003-06-12,0,0
"493","DCH","Shallow",2003-08-13,0,0
"494","DCH","Shallow",2003-09-10,0,0
"495","DCH","Shallow",2003-10-14,0,0
"496","DCH","Shallow",2003-11-11,0,0
"497","DCH","Shallow",2003-12-16,0,0
"498","DCH","Shallow",2004-01-14,0,0
"499","DCH","Shallow",2004-02-12,0,0
"500","DCH","Shallow",2004-03-09,0,0
"501","DCH","Shallow",2004-04-14,0,0
"502","DCH","Shallow",2004-05-11,0,0
"503","DCH","Shallow",2004-06-10,0,0
"504","DCH","Shallow",2004-07-14,0,0
"505","DCH","Shallow",2004-08-10,0,0
"506","DCH","Shallow",2004-09-15,0,0
"507","DCH","Shallow",2004-10-12,0,0
"508","DCH","Shallow",2004-11-11,0,0
