site,date,data,Gatun_dist,Cano_Quebrado_dist,Trinidad_dist,Ciri_Grande_dist,min_dist,n,neo_n,Gatun_flow,Cano_Quebrado_flow,Trinidad_flow,Ciri_Grande_flow,min_dist_traffic,min_dist_neo_traffic,Gatun_flow_dist,Cano_Quebrado_flow_dist,Trinidad_flow_dist,Ciri_Grande_flow_dist
ARN,Jan-03,0.04,30428.71427,13869.27494,2266.666056,9948.503649,25332.565,NA,0,4.286738351,1.347967742,3.81483871,5.552688172,NA,0,0.000140878,9.72E-05,0.001683018,0.000558143
ARN,Apr-03,0,30428.71427,13869.27494,2266.666056,9948.503649,25332.565,NA,0,1.316633333,0.431359259,1.726307407,2.389492593,NA,0,4.33E-05,3.11E-05,0.000761606,0.000240186
ARN,May-03,0,30428.71427,13869.27494,2266.666056,9948.503649,25332.565,NA,0,3.305430108,0.808426523,3.953666667,5.181770609,NA,0,0.000108629,5.83E-05,0.001744265,0.000520859
ARN,Jun-03,0,30428.71427,13869.27494,2266.666056,9948.503649,25332.565,NA,0,4.189114815,1.691785185,5.24947037,7.773592593,NA,0,0.00013767,0.000121981,0.002315943,0.000781383
ARN,Aug-03,0.03,30428.71427,13869.27494,2266.666056,9948.503649,25332.565,NA,0,7.307179211,2.658892473,7.604043011,10.82498208,NA,0,0.000240141,0.000191711,0.003354726,0.001088102
ARN,Sep-03,0.03,30428.71427,13869.27494,2266.666056,9948.503649,25332.565,NA,0,6.033,3.300144444,9.255185185,12.95659259,NA,0,0.000198267,0.000237946,0.004083171,0.001302366
ARN,Oct-03,0.03,30428.71427,13869.27494,2266.666056,9948.503649,25332.565,NA,0,8.864802867,4.082795699,11.79526882,14.46541219,NA,0,0.00029133,0.000294377,0.005203796,0.001454029
ARN,Nov-03,0.03,30428.71427,13869.27494,2266.666056,9948.503649,25332.565,NA,0,20.18974074,6.091037037,16.76114815,22.50685185,NA,0,0.000663509,0.000439175,0.007394626,0.002262335
ARN,Dec-03,0.02,30428.71427,13869.27494,2266.666056,9948.503649,25332.565,NA,0,15.97315412,4.090247312,11.36863799,16.86853047,NA,0,0.000524937,0.000294914,0.005015577,0.001695585
ARN,Jan-04,0.02,30428.71427,13869.27494,2266.666056,9948.503649,25332.565,NA,0,4.286738351,1.347967742,3.81483871,5.552688172,NA,0,0.000140878,9.72E-05,0.001683018,0.000558143
ARN,Feb-04,0.03,30428.71427,13869.27494,2266.666056,9948.503649,25332.565,NA,0,2.062451286,0.599220717,1.928004105,2.585482759,NA,0,6.78E-05,4.32E-05,0.00085059,0.000259887
ARN,Mar-04,0.03,30428.71427,13869.27494,2266.666056,9948.503649,25332.565,NA,0,1.371204301,0.311028674,1.250691756,1.731240143,NA,0,4.51E-05,2.24E-05,0.000551776,0.00017402
ARN,Apr-04,0.03,30428.71427,13869.27494,2266.666056,9948.503649,25332.565,NA,0,1.316633333,0.431359259,1.726307407,2.389492593,NA,0,4.33E-05,3.11E-05,0.000761606,0.000240186
ARN,May-04,0.03,30428.71427,13869.27494,2266.666056,9948.503649,25332.565,NA,0,3.305430108,0.808426523,3.953666667,5.181770609,NA,0,0.000108629,5.83E-05,0.001744265,0.000520859
ARN,Jun-04,0.02,30428.71427,13869.27494,2266.666056,9948.503649,25332.565,NA,0,4.189114815,1.691785185,5.24947037,7.773592593,NA,0,0.00013767,0.000121981,0.002315943,0.000781383
ARN,Jul-04,0.03,30428.71427,13869.27494,2266.666056,9948.503649,25332.565,NA,0,5.231014337,1.826351254,5.676666667,8.400681004,NA,0,0.00017191,0.000131683,0.002504412,0.000844417
ARN,Aug-04,0.03,30428.71427,13869.27494,2266.666056,9948.503649,25332.565,NA,0,7.307179211,2.658892473,7.604043011,10.82498208,NA,0,0.000240141,0.000191711,0.003354726,0.001088102
ARN,Sep-04,0.03,30428.71427,13869.27494,2266.666056,9948.503649,25332.565,NA,0,6.033,3.300144444,9.255185185,12.95659259,NA,0,0.000198267,0.000237946,0.004083171,0.001302366
