ID,NOMBRE,ELE(ft),ELE (m),UTM (N),UTM (W),LAT (N),LONG (W),LLUVIA
ABU,Agua Buena,410,125,1011232,654658,"09° 07' 40""","79° 35' 55""",6212
ACL,Agua Clara,1509,460,1035211,642054,"09° 21' 52""","79° 42' 22""",5012
ALA,Alhajuela,130,40,1017898,651549,"09° 12' 23""","79° 37' 14""",5512
AMA,Amador,5,1.5,,,"08° 55' 00""","79° 32' 05""",212
ARC,Arca Sonia,870,265,1016501,663154,"09° 11' 36""","79° 30' 54""",7712
ASA,Agua Salud,±560,171,1019838,636190,"09° 13' 28""","79° 45' 37""",7512
AST,Amador,±5,2,985896,661110,"08° 55' 00""","79° 32' 05""",212
BBQ,Barbacoa,174,53,1008503,632196,"09° 07' 13""","79° 47' 50""",2512
BCI,Barro Colorado Island,110,34,1013268,627848,"09° 09' 55""","79° 50' 11""",412
BHT,Balboa Heights,100,30,990618,658953,"08° 57' 34""","79° 33' 15""",6012
CAB,Chico Cabecera,±1090,332,1033850,668726,"09° 21' 00""","79° 27' 49""",2012
CAN,Los Cañones,340,104,989270,603064,"08° 56' 56""","80° 03' 45""",2112
CAS,Las Cascadas,155,47,1004051,645068,"09° 04' 53""","79° 40' 48""",3012
CBD,Caño Quebrado,106,32,995516,629022,"09° 00' 17""","79° 49' 34""",
CCA,Cerro Cama,±394,120,997918,620264,"09° 01' 36""","79° 54' 21""",7812
CCL,Cocolí 326,121,37,993158,654609,"08° 58' 57""","79° 35' 37""",7412
CDL,Candelaria,320,98,1037450,662914,"09° 22' 58""","79° 30' 59""",5112
CHI,Chico,340,104,1024275,663702,"09° 15' 49""","79° 30' 35""",5312
CHM,Chamon,±2100,640,1033032,684689,"09° 20' 31""","79° 19' 06""",7912
CHR,El Chorro,140,43,992240,610997,"08° 58' 32""","79° 59' 25""",4812
CNO,Caño,108,33,1003444,629376,"09° 04' 35""","79° 49' 22""",5912
CNT,Ciento,125,38,1027960,639701,"09° 17' 52""","79° 43' 41""",5212
