"","site","Gatun_dist","Cano_Quebrado_dist","Trinidad_dist","Ciri_Grande_dist","min_dist","dummy","mean","year","percentage","Oceangoing","Ciri_Grande_max","Trinidad_max","Cano_Quebrado_max","Gatun_max","Ciri_Grande_min","Trinidad_min","Cano_Quebrado_min","Gatun_min","Ciri_Grande_range","Trinidad_range","Cano_Quebrado_range","Gatun_range"
"1","ARN",30428.7142739255,13869.2749379916,2266.66605623771,9948.50364903185,25332.565,0,0.213888888888889,"2003",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","ARN",30428.7142739255,13869.2749379916,2266.66605623771,9948.50364903185,25332.565,0,0.253489583333333,"2004",0,12518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","ARN",30428.7142739255,13869.2749379916,2266.66605623771,9948.50364903185,25332.565,0,0.195520833333333,"2005",0,12647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","BAT",20591.8953470582,20728.8132006056,17671.4322433271,20402.0152096503,10689.48,0,0.213888888888889,"2003",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","BAT",20591.8953470582,20728.8132006056,17671.4322433271,20402.0152096503,10689.48,0,0.253489583333333,"2004",0,12518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","BAT",20591.8953470582,20728.8132006056,17671.4322433271,20402.0152096503,10689.48,0,0.195520833333333,"2005",0,12647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","BCI",13614.4365716764,15252.8150983876,19186.3848092991,25216.3342469678,10988.875,0,0.213888888888889,"2003",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","BCI",13614.4365716764,15252.8150983876,19186.3848092991,25216.3342469678,10988.875,0,0.253489583333333,"2004",0,12518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","BCI",13614.4365716764,15252.8150983876,19186.3848092991,25216.3342469678,10988.875,0,0.195520833333333,"2005",0,12647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","DC1",19028.3808434717,16678.663815354,30779.6562958475,39640.837798094,21509.056,0,0.213888888888889,"2003",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","DC1",19028.3808434717,16678.663815354,30779.6562958475,39640.837798094,21509.056,0,0.253489583333333,"2004",0,12518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","DC1",19028.3808434717,16678.663815354,30779.6562958475,39640.837798094,21509.056,0,0.195520833333333,"2005",0,12647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","ESC",23426.0581320076,18807.0372303987,13702.138906408,16418.2431695599,14719.139,0,0.213888888888889,"2003",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","ESC",23426.0581320076,18807.0372303987,13702.138906408,16418.2431695599,14719.139,0,0.253489583333333,"2004",0,12518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","ESC",23426.0581320076,18807.0372303987,13702.138906408,16418.2431695599,14719.139,0,0.195520833333333,"2005",0,12647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
